letter,standard,all,used
E,12.02,10.652267818574513,6.666666666666667
T,9.1,6.29805615550756,6.666666666666667
A,8.12,8.457883369330453,8.0
O,7.68,6.514038876889849,6.666666666666667
I,7.31,5.796976241900648,4.0
N,6.95,4.967602591792657,4.0
S,6.28,5.779697624190065,5.333333333333333
R,6.02,7.766738660907127,8.0
H,5.92,3.360691144708423,4.0
D,4.32,3.3952483801295896,4.0
L,3.98,6.211663066954643,12.0
U,2.88,4.0345572354211665,5.333333333333333
C,2.71,4.120950323974082,2.6666666666666665
M,2.61,2.7300215982721383,4.0
F,2.3,1.9870410367170626,2.6666666666666665
Y,2.11,3.67170626349892,1.3333333333333333
W,2.09,1.6846652267818574,2.6666666666666665
G,2.03,2.68682505399568,4.0
P,1.82,3.1706263498920086,2.6666666666666665
B,1.49,2.427645788336933,0.0
V,1.11,1.3218142548596112,0.0
K,0.69,1.8142548596112311,5.333333333333333
X,0.17,0.31965442764578833,0.0
Q,0.11,0.2505399568034557,0.0
J,0.1,0.23326133909287258,0.0
Z,0.07,0.34557235421166305,0.0
